time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
3500,2021-10-16 19:01:41,29.4072016507735,-82.1690821525526,0,0,58.927193814804,58.927193814804,0,0,0.208860570988,13,4,0,58.927193814804,0,0,0.208860570988,0,0,0,91.9, -1.6, -3.3,0,0,1024,1024,1094,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3600,2021-10-16 19:01:41,29.4072015824668,-82.1690821665772,0,0,58.927193814804,58.927193814804,0,0,0.22894357688,13,4,0,58.927193814804,0,0,0.22894357688,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1088,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3700,2021-10-16 19:01:41,29.407201527953,-82.1690821681934,0,0,58.927193814804,58.927193814804,0,0,0.246854666692,13,4,0,58.927193814804,0,0,0.246854666692,0,0,0,91.8, -1.7, -3.2,0,0,1024,1024,1094,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3800,2021-10-16 19:01:41,29.4072014789173,-82.1690821685234,0,0,58.927193814804,58.927193814804,0,0,0.26334154386,13,4,0,58.927193814804,0,0,0.26334154386,0,0,0,91.9, -1.7, -3.3,0,0,1024,1024,1110,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
3900,2021-10-16 19:01:41,29.4072014393575,-82.1690821654171,0,0,58.927193814804,58.927193814804,0,0,0.277149287084,13,4,0,58.927193814804,0,0,0.277149287084,0,0,0,91.8, -1.7, -3.3,0,0,1024,1024,1124,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4000,2021-10-16 19:01:41,29.4072013808736,-82.1690821659214,0,0,58.927193814804,58.927193814804,0,0,0.297136164364,13,4,0,58.927193814804,0,0,0.297136164364,0,0,0,91.8, -1.5, -3.2,0,0,1024,1024,1128,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4100,2021-10-16 19:01:41,29.4072013262718,-82.1690821739945,0,0,58.927193814804,58.927193814804,0,0,0.315212936596,13,4,0,58.927193814804,0,0,0.315212936596,0,0,0,91.8, -1.2, -3.2,0,0,1024,1024,1106,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4200,2021-10-16 19:01:42,29.4072012986925,-82.1690822260441,0,0,58.927193814804,58.927193814804,0,0,0.32032317298,13,4,0,58.927193814804,0,0,0.32032317298,0,0,0,91.7, -1, -3.1,0,0,1024,1024,1106,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4300,2021-10-16 19:01:42,29.4072012744873,-82.1690822644818,0,0,58.927193814804,58.927193814804,0,0,0.326157490752,13,4,0,58.927193814804,0,0,0.326157490752,0,0,0,91.7, -0.8, -3.1,0,0,1024,1024,1106,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4400,2021-10-16 19:01:42,29.407201280379,-82.1690823344383,0,0,58.927193814804,58.927193814804,0,0,0.320192267464,13,4,0,58.927193814804,0,0,0.326157490752,0,0,0,91.7, -0.8, -3,0,0,1024,1024,1109,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4500,2021-10-16 19:01:42,29.4072012652019,-82.1690823733434,0,0,58.927193814804,58.927193814804,0,0,0.324205390952,13,4,0,58.927193814804,0,0,0.326157490752,0,0,0,91.6, -0.8, -3,0,0,1024,1024,1112,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4600,2021-10-16 19:01:42,29.4072012400278,-82.1690824031666,0,0,58.927193814804,58.927193814804,0,0,0.33255578492,13,4,0,58.927193814804,0,0,0.33255578492,0,0,0,91.6, -0.8, -2.8,0,0,1024,1024,1111,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
4700,2021-10-16 19:01:42,29.4072011955078,-82.1690824274222,0.328084,0.328084,58.927193814804,59.255277814804,0,0,0.34833990616,13,4,0,59.255277814804,0.328084,0,0.34833990616,0,0,-0.223694,91.5, -0.7, -2.4,0,0,1024,1024,1123,1024,0,0,99,,,,,,,0,32,59.255277814804,0.328084,10,Assisted_Takeoff,
4800,2021-10-16 19:01:42,29.4072011647693,-82.1690824846597,0.328084,0.328084,58.927193814804,59.255277814804,0,0,0.35922901412,13,4,0,59.255277814804,0.328084,0,0.35922901412,0,0,-0.223694,91.4, -0.3, -1.7,0,0,1024,1024,1127,1024,0,0,99,,,,,,,0,32,59.255277814804,0.328084,10,Assisted_Takeoff,
4900,2021-10-16 19:01:42,29.4072011223793,-82.1690825422344,0.328084,0.29527559999999,58.960002214804,59.255277814804,0,0,0.37528544508,13,4,0,59.255277814804,0.328084,0,0.37528544508,0,0,-0.447388,91.3, -0.2, -0.8,0,0,1024,1024,1126,1024,0,0,99,,,,,,,0,32,59.255277814804,0.328084,6,P-GPS,
5000,2021-10-16 19:01:42,29.40720106817,-82.1690826372941,0.328084,0.29527559999999,58.960002214804,59.255277814804,0,0,0.39780185,13,4,0,59.255277814804,0.328084,0,0.39780185,0,0,-0.671082,91.3, -0.2, -0.4,0,0,1024,1024,1142,1024,0,0,99,,,,,,,0,32,59.255277814804,0.328084,6,P-GPS,
